listing_id,host_id,listing_type,reviews,satisfaction_rate,accommodates,bedrooms,price,latitude,longitude
12039248,48677215,Entire home/apt,23,4.5,6,3,190,51.451176,-2.60361
6103069,31667040,Entire home/apt,1,0,6,4,198,51.470836,-2.587036
16014855,27727878,Entire home/apt,0,0,5,3,190,51.450225,-2.617004
14674939,21795890,Entire home/apt,4,4.5,8,4,190,51.486019,-2.58971
5411209,17545752,Entire home/apt,23,4.5,8,4,205,51.44675,-2.60634
13261677,3663967,Entire home/apt,2,0,5,3,190,51.469462,-2.598025
15474156,99322539,Entire home/apt,2,0,4,2,203,51.465571,-2.606587
12422528,60611927,Entire home/apt,13,4.5,4,2,201,51.453894,-2.587019
16090829,44695812,Entire home/apt,0,0,4,0,190,51.493088,-2.58708
16170689,106044557,Entire home/apt,0,0,4,3,190,51.453639,-2.623874
2404407,11141720,Entire home/apt,50,5,5,2,190,51.444028,-2.568637
16437696,24801629,Entire home/apt,0,0,4,2,190,51.439702,-2.602885
422956,2103297,Entire home/apt,189,5,5,3,190,51.473313,-2.605979
8229027,20021870,Entire home/apt,3,4.5,16,10,159,51.436858,-2.550418
11931594,1955597,Entire home/apt,3,5,4,2,151,51.443592,-2.611805
9712712,11930920,Entire home/apt,11,5,4,2,159,51.460622,-2.622159
9641485,29443025,Entire home/apt,10,5,8,4,159,51.468673,-2.55744
5310611,27473548,Entire home/apt,15,5,2,1,151,51.456085,-2.581347
10795397,20205048,Entire home/apt,0,0,2,1,177,51.456288,-2.597085
10605969,47825852,Entire home/apt,1,0,4,2,159,51.460778,-2.574795
7916705,41744030,Entire home/apt,4,5,4,3,165,51.467736,-2.579438
12418474,60611927,Entire home/apt,1,0,2,1,159,51.455577,-2.588924
15543901,12751244,Entire home/apt,4,0,8,3,177,51.47046,-2.583408
16214419,11072353,Entire home/apt,0,0,4,1,165,51.453713,-2.622199
2845090,7102048,Entire home/apt,33,4.5,4,2,165,51.459144,-2.585635
14872063,49251055,Entire home/apt,0,0,4,2,151,51.461223,-2.55116
8561282,45058958,Entire home/apt,1,0,2,1,159,51.450627,-2.587863
3639418,10454199,Entire home/apt,28,5,2,1,165,51.45341,-2.623261
3402765,16271311,Entire home/apt,2,0,4,3,177,51.449404,-2.612586
14280224,43466627,Entire home/apt,4,5,4,2,159,51.440991,-2.579549
13873057,56967303,Entire home/apt,3,5,6,3,177,51.444141,-2.607729
5032287,9698026,Entire home/apt,17,4.5,4,2,151,51.468503,-2.556075
15861316,6316569,Entire home/apt,1,0,4,1,151,51.454678,-2.589549
4383083,22373250,Entire home/apt,36,5,2,1,183,51.447091,-2.593571
5974661,29514308,Entire home/apt,10,5,7,4,179,51.477565,-2.605263
2403979,12286397,Entire home/apt,8,5,4,2,151,51.470199,-2.575789
13873282,81940776,Entire home/apt,6,4.5,4,2,151,51.459009,-2.616021
5647395,29197745,Entire home/apt,4,4.5,5,2,151,51.435099,-2.60738
15996050,103965413,Entire home/apt,0,0,4,2,171,51.464938,-2.617172
6613273,34607760,Entire home/apt,2,0,5,3,172,51.495453,-2.649067
10666028,36464455,Entire home/apt,35,5,4,2,145,51.466907,-2.59996
5784360,30008910,Entire home/apt,24,5,6,2,151,51.465746,-2.589711
1007899,4198500,Entire home/apt,102,5,6,3,176,51.455333,-2.621472
6402952,5186542,Entire home/apt,23,5,6,2,164,51.45007,-2.604076
13780181,53066978,Entire home/apt,3,5,5,3,156,51.44264,-2.615072
7361546,14238501,Entire home/apt,4,4.5,8,4,177,51.482494,-2.57771
6176992,32043430,Entire home/apt,26,5,4,2,151,51.453534,-2.538003
14485996,5032250,Entire home/apt,0,0,6,3,159,51.460041,-2.572973
8560539,11141720,Entire home/apt,28,5,6,2,183,51.443845,-2.567073
6388411,2914982,Entire home/apt,83,5,4,2,151,51.457146,-2.582655
16063136,22764146,Entire home/apt,0,0,5,3,171,51.494951,-2.647556
13028260,21717276,Entire home/apt,0,0,6,3,151,51.477171,-2.587314
3766960,19298185,Entire home/apt,9,5,4,2,159,51.436471,-2.556779
15797448,23208622,Entire home/apt,1,0,6,3,183,51.464702,-2.589161
